LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,ASK,Strike,expire_days,target
4.16,0.32,-2.92,243,29.54,70.46,61.2,0.06,-0.14,0.27,680,4.16,0.02,27.53,0.0,5.44,4.16,4.14,4.18,292.0,25,0
4.05,0.3,-2.67,159,27.63,72.37,57.16,0.06,-0.13,0.26,795,3.735,0.02,27.01,0.0,4.96,3.735,3.71,3.76,293.0,25,0
3.3,0.28,-2.87,478,25.71,74.29,53.14,0.05,-0.13,0.25,669,3.335,0.02,26.49,0.0,4.63,3.335,3.31,3.36,294.0,25,0
2.98,0.26,-2.72,400,23.81,76.19,49.17,0.05,-0.12,0.24,415,2.965,0.02,26.0,0.0,4.27,2.965,2.94,2.99,295.0,25,0
2.8,0.24,-2.77,6,21.92,78.08,45.21,0.05,-0.11,0.23,173,2.615,0.02,25.49,0.0,3.65,2.615,2.59,2.64,296.0,25,0
2.43,0.22,-2.24,62,20.09,79.91,41.4,0.04,-0.1,0.22,875,2.3,0.02,25.03,0.0,3.03,2.3,2.28,2.32,297.0,25,0
2.52,0.2,-1.7,2,18.3,81.7,37.68,0.04,-0.1,0.21,302,2.01,0.02,24.58,0.0,2.7,2.01,1.99,2.03,298.0,25,0
1.95,0.18,-1.94,2,16.57,83.43,34.08,0.04,-0.09,0.2,475,1.745,0.01,24.14,0.0,2.83,1.745,1.73,1.76,299.0,25,0
1.56,0.16,-1.85,123,14.93,85.07,30.68,0.03,-0.08,0.19,3011,1.51,0.01,23.73,0.0,2.44,1.51,1.49,1.53,300.0,25,0
1.31,0.15,-2.01,4,13.41,86.59,27.53,0.03,-0.08,0.17,64,1.305,0.01,23.38,0.0,1.96,1.305,1.29,1.32,301.0,25,1
1.1,0.13,-1.52,195,11.92,88.08,24.47,0.03,-0.07,0.16,968,1.115,0.01,23.0,0.0,1.67,1.115,1.1,1.13,302.0,25,1
0.95,0.12,-1.52,5,10.56,89.44,21.65,0.02,-0.06,0.15,143,0.95,0.01,22.66,0.0,1.38,0.95,0.94,0.96,303.0,25,1
0.83,0.1,-1.2,5,9.33,90.67,19.11,0.02,-0.06,0.14,231,0.81,0.01,22.37,0.0,1.02,0.81,0.8,0.82,304.0,25,1
0.7,0.09,-1.45,73,8.21,91.79,16.82,0.02,-0.05,0.12,2833,0.69,0.01,22.12,0.0,1.21,0.69,0.68,0.7,305.0,25,1
0.6,0.08,-1.18,24,7.2,92.8,14.73,0.02,-0.05,0.11,75,0.585,0.01,21.88,0.0,1.03,0.585,0.57,0.6,306.0,25,1
10.05,0.51,-5.92,6,47.35,52.65,99.32,0.09,-0.18,0.31,16,9.77,0.02,32.86,0.0,11.58,9.77,9.74,9.8,282.0,26,0
9.5,0.49,-4.04,23,45.76,54.24,95.88,0.09,-0.18,0.31,29,9.17,0.02,32.42,0.0,11.03,9.17,9.14,9.2,283.0,26,0
8.69,0.48,-4.62,8,44.14,55.86,92.36,0.09,-0.18,0.3,10,8.555,0.02,31.88,0.0,10.15,8.555,8.53,8.58,284.0,26,0
8.3,0.46,-3.89,7,42.48,57.52,88.79,0.09,-0.17,0.3,327,7.975,0.02,31.4,0.0,9.86,7.975,7.95,8.0,285.0,26,0
7.82,0.44,-5.35,25,40.79,59.21,85.15,0.08,-0.17,0.3,31,7.41,0.02,30.91,0.0,9.5,7.41,7.38,7.44,286.0,26,0
7.17,0.42,-5.61,92,39.07,60.93,81.45,0.08,-0.16,0.3,60,6.86,0.02,30.41,0.0,7.86,6.86,6.84,6.88,287.0,26,0
6.75,0.4,-4.05,19,37.3,62.7,77.67,0.08,-0.16,0.3,162,6.315,0.02,29.86,0.0,8.2,6.315,6.29,6.34,288.0,26,0
6.24,0.39,-3.21,7,35.5,64.5,73.84,0.07,-0.16,0.29,83,5.795,0.02,29.33,0.0,7.27,5.795,5.77,5.82,289.0,26,0
5.48,0.37,-3.27,26,33.67,66.33,69.97,0.07,-0.15,0.29,410,5.295,0.02,28.81,0.0,7.09,5.295,5.27,5.32,290.0,26,0
5.07,0.35,-3.55,4,31.83,68.17,66.06,0.07,-0.14,0.28,192,4.82,0.02,28.29,0.0,6.16,4.82,4.79,4.85,291.0,26,0
4.37,0.33,-2.99,11,29.97,70.03,62.13,0.06,-0.14,0.28,154,4.365,0.02,27.77,0.0,5.7,4.365,4.34,4.39,292.0,26,0
4.12,0.31,-2.82,103,28.1,71.9,58.19,0.06,-0.13,0.27,3031,3.935,0.02,27.26,0.0,5.37,3.935,3.91,3.96,293.0,26,0
4.39,0.29,-2.1,13,26.24,73.76,54.29,0.06,-0.13,0.26,56,3.535,0.02,26.77,0.0,5.12,3.535,3.51,3.56,294.0,26,0
3.35,0.27,-2.65,83,24.37,75.63,50.36,0.05,-0.12,0.25,625,3.15,0.02,26.26,0.0,4.58,3.15,3.13,3.17,295.0,26,0
2.79,0.25,-2.8,3,22.53,77.47,46.5,0.05,-0.11,0.24,125,2.795,0.02,25.77,0.0,3.83,2.795,2.77,2.82,296.0,26,0
6.63,0.23,2.6,58,20.69,79.31,42.67,0.05,-0.11,0.23,125,2.46,0.02,25.27,0.0,0.0,2.46,2.44,2.48,297.0,26,1
2.45,0.21,-2.25,1,18.92,81.08,38.99,0.04,-0.1,0.22,37,2.16,0.02,24.81,0.0,2.45,2.16,2.14,2.18,298.0,26,0
2.04,0.19,-2.2,3,17.23,82.77,35.46,0.04,-0.09,0.21,11,1.89,0.01,24.4,0.0,2.04,1.89,1.87,1.91,299.0,26,0
1.65,0.17,-2.0,76,15.6,84.4,32.08,0.03,-0.08,0.2,904,1.645,0.01,23.99,0.0,2.65,1.645,1.63,1.66,300.0,26,0
1.77,0.15,-1.66,188,14.02,85.98,28.82,0.03,-0.08,0.18,58,1.42,0.01,23.59,0.0,2.0,1.42,1.4,1.44,301.0,26,0
1.74,0.14,-1.25,126,12.54,87.46,25.74,0.03,-0.07,0.17,100,1.22,0.01,23.21,0.0,1.94,1.22,1.2,1.24,302.0,26,1
1.58,0.12,-1.25,1,11.16,88.84,22.89,0.02,-0.06,0.16,133,1.045,0.01,22.86,0.0,1.58,1.045,1.03,1.06,303.0,26,1
1.42,0.11,-1.38,10,9.9,90.1,20.3,0.02,-0.06,0.14,180,0.895,0.01,22.56,0.0,1.42,0.895,0.88,0.91,304.0,26,1
0.85,0.1,-1.45,23,8.79,91.21,18.01,0.02,-0.05,0.13,1005,0.77,0.01,22.33,0.0,1.4,0.77,0.76,0.78,305.0,26,1
0.7,0.09,-1.1,20,7.69,92.31,15.75,0.02,-0.05,0.12,19,0.65,0.01,22.03,0.0,1.03,0.65,0.64,0.66,306.0,26,1
0.6,0.08,-1.06,32,6.77,93.23,13.85,0.02,-0.04,0.11,371,0.555,0.01,21.83,0.0,0.89,0.555,0.54,0.57,307.0,26,1
10.44,0.51,-4.28,161,47.31,52.69,99.35,0.1,-0.18,0.32,845,10.29,0.02,33.33,0.0,10.8,10.29,10.27,10.31,282.0,28,0
9.63,0.49,-4.96,89,45.81,54.19,96.07,0.1,-0.18,0.32,799,9.67,0.02,32.85,0.0,11.72,9.67,9.65,9.69,283.0,28,0
9.26,0.48,-4.01,151,44.27,55.73,92.73,0.1,-0.17,0.32,975,9.07,0.02,32.37,0.0,11.18,9.07,9.05,9.09,284.0,28,0
8.6,0.46,-3.97,18565,42.7,57.3,89.34,0.09,-0.17,0.32,8400,8.49,0.02,31.91,0.0,10.66,8.49,8.47,8.51,285.0,28,0
7.85,0.45,-3.97,141,41.09,58.91,85.86,0.09,-0.17,0.31,3156,7.905,0.02,31.39,0.0,9.92,7.905,7.88,7.93,286.0,28,0
7.61,0.43,-3.35,183,39.45,60.55,82.34,0.09,-0.16,0.31,507,7.345,0.02,30.89,0.0,9.15,7.345,7.32,7.37,287.0,28,0
6.89,0.41,-3.39,348,37.78,62.22,78.76,0.08,-0.16,0.31,492,6.8,0.02,30.38,0.0,8.75,6.8,6.77,6.83,288.0,28,0
6.48,0.39,-4.05,267,36.08,63.92,75.13,0.08,-0.15,0.31,550,6.275,0.02,29.87,0.0,8.09,6.275,6.25,6.3,289.0,28,0
5.79,0.37,-3.46,1318,34.35,65.65,71.44,0.08,-0.15,0.3,28767,5.765,0.02,29.35,0.0,7.6,5.765,5.74,5.79,290.0,28,0
5.34,0.36,-3.33,960,32.61,67.39,67.74,0.07,-0.14,0.3,235,5.28,0.02,28.85,0.0,6.98,5.28,5.26,5.3,291.0,28,0
4.8,0.34,-3.73,1182,30.83,69.17,63.98,0.07,-0.14,0.29,1033,4.81,0.02,28.33,0.0,6.46,4.81,4.79,4.83,292.0,28,0
4.34,0.32,-3.67,885,29.05,70.95,60.22,0.07,-0.13,0.28,557,4.365,0.02,27.82,0.0,6.01,4.365,4.34,4.39,293.0,28,0
3.95,0.3,-3.55,476,27.26,72.74,56.43,0.06,-0.13,0.28,1035,3.94,0.02,27.31,0.0,5.34,3.94,3.92,3.96,294.0,28,0
3.55,0.28,-2.81,595,25.47,74.53,52.67,0.06,-0.12,0.27,2479,3.54,0.02,26.8,0.0,5.03,3.54,3.52,3.56,295.0,28,0
3.34,0.26,-2.65,1519,23.7,76.3,48.96,0.06,-0.11,0.26,5822,3.17,0.02,26.33,0.0,4.56,3.17,3.15,3.19,296.0,28,0
2.8,0.24,-2.94,382,21.94,78.06,45.28,0.05,-0.11,0.25,1142,2.82,0.02,25.85,0.0,4.06,2.82,2.8,2.84,297.0,28,0
2.65,0.22,-2.37,261,20.19,79.81,41.62,0.05,-0.1,0.24,1364,2.49,0.01,25.36,0.0,3.61,2.49,2.47,2.51,298.0,28,0
2.26,0.2,-2.59,454,18.51,81.49,38.13,0.04,-0.09,0.23,1561,2.195,0.01,24.92,0.0,3.15,2.195,2.18,2.21,299.0,28,0
1.92,0.19,-2.2,2097,16.86,83.14,34.7,0.04,-0.09,0.21,12862,1.92,0.01,24.47,0.0,3.01,1.92,1.9,1.94,300.0,28,0
1.69,0.17,-2.36,334,15.34,84.66,31.54,0.04,-0.08,0.2,732,1.685,0.01,24.11,0.0,2.68,1.685,1.67,1.7,301.0,28,0
1.48,0.15,-2.02,1063,13.8,86.2,28.37,0.03,-0.07,0.19,5791,1.455,0.01,23.68,0.0,2.39,1.455,1.44,1.47,302.0,28,0
1.36,0.14,-1.89,635,12.4,87.6,25.47,0.03,-0.07,0.18,837,1.26,0.01,23.32,0.0,1.98,1.26,1.24,1.28,303.0,28,0
1.15,0.12,-1.54,338,11.08,88.92,22.74,0.03,-0.06,0.16,2355,1.085,0.01,22.98,0.0,1.84,1.085,1.07,1.1,304.0,28,1
0.94,0.11,-1.31,333,9.88,90.12,20.26,0.02,-0.06,0.15,1561,0.935,0.01,22.69,0.0,1.63,0.935,0.92,0.95,305.0,28,1
0.82,0.1,-1.43,340,8.75,91.25,17.93,0.02,-0.05,0.14,1881,0.8,0.01,22.4,0.0,1.31,0.8,0.79,0.81,306.0,28,1
0.69,0.09,-1.28,152,7.77,92.23,15.92,0.02,-0.05,0.13,1773,0.69,0.01,22.19,0.0,1.19,0.69,0.68,0.7,307.0,28,1
0.66,0.08,-1.1,281,6.85,93.15,14.02,0.02,-0.04,0.12,646,0.59,0.01,21.97,0.0,1.04,0.59,0.58,0.6,308.0,28,1
0.6,0.07,-1.01,13,6.07,93.93,12.42,0.01,-0.04,0.11,570,0.51,0.01,21.83,0.0,0.96,0.51,0.5,0.52,309.0,28,1
