Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,target,dt_predict
270.0,1.21,1.27,1.37,-0.06,0.38,37,8.11,91.89,15.75,-0.01,-0.11,0.1,940,1.24,0.0,52.33,0.0,1.37,1.24,22,1,1
300.0,3.01,3.11,3.4,-0.17,0.8,550,19.8,80.2,38.58,-0.03,-0.25,0.17,1183,3.06,0.01,46.25,0.0,3.85,3.06,15,1,1
235.0,0.53,0.57,0.56,-0.02,-0.03,1,3.58,96.42,6.92,-0.01,-0.06,0.05,41,0.55,0.0,64.44,0.0,0.56,0.55,26,1,1
327.0,11.8,12.08,11.96,-0.48,1.79,61,51.55,48.45,99.45,-0.12,-0.23,0.35,2813,11.94,0.01,33.98,0.0,13.56,11.94,26,1,1
325.0,9.17,9.32,9.56,-0.45,1.51,215,48.16,51.84,93.47,-0.07,-0.33,0.27,799,9.245,0.02,37.9,0.0,11.37,9.245,15,1,1
285.0,2.49,2.57,2.84,-0.12,0.77,122,14.66,85.34,28.43,-0.03,-0.15,0.18,4629,2.53,0.0,45.64,0.0,3.02,2.53,26,1,1
325.0,8.01,8.21,8.08,-0.45,0.58,281,47.56,52.44,92.62,-0.05,-0.42,0.22,863,8.11,0.02,40.66,0.0,10.5,8.11,10,1,1
265.0,0.66,0.7,0.67,-0.04,0.14,1008,5.14,94.86,10.02,0.0,-0.13,0.05,147,0.68,0.0,66.01,0.0,0.79,0.68,12,1,1
316.0,5.87,6.0,6.01,-0.32,1.06,160,35.19,64.81,68.5,-0.04,-0.38,0.22,326,5.935,0.01,43.87,0.0,7.44,5.935,12,1,1
270.0,1.44,1.5,1.58,-0.07,0.42,26,9.06,90.94,17.57,-0.02,-0.11,0.12,484,1.47,0.0,50.3,0.0,1.75,1.47,26,1,1
280.0,1.25,1.31,1.56,-0.07,0.53,235,9.15,90.85,17.85,-0.01,-0.16,0.1,26426,1.28,0.0,53.67,0.0,1.57,1.28,15,1,1
322.5,10.23,10.35,12.04,-0.42,3.47,13,45.93,54.07,88.67,-0.11,-0.23,0.35,512,10.29,0.01,35.52,0.0,12.04,10.29,26,1,1
257.0,0.72,0.75,0.76,-0.04,0.11,424,5.08,94.92,9.88,-0.01,-0.09,0.06,5569,0.735,0.0,60.46,0.0,0.85,0.735,19,1,1
260.0,0.56,0.6,0.6,-0.03,0.17,27,4.4,95.6,8.58,0.0,-0.12,0.05,28929,0.58,0.0,68.82,0.0,0.68,0.58,12,1,1
294.0,2.89,2.94,2.97,-0.15,0.4,521,17.69,82.31,34.39,-0.03,-0.21,0.18,7078,2.915,0.01,46.6,0.0,3.62,2.915,19,1,1
270.0,0.77,0.82,0.82,-0.05,0.11,159,6.01,93.99,11.72,-0.01,-0.14,0.06,3183,0.795,0.0,63.13,0.0,0.92,0.795,12,1,1
255.0,0.9,0.95,1.03,-0.04,-0.02,13,5.89,94.11,11.41,-0.01,-0.08,0.08,503,0.925,0.0,55.91,0.0,1.03,0.925,26,1,1
327.0,10.98,11.08,10.92,-0.48,1.36,2291,51.39,48.61,99.4,-0.09,-0.28,0.31,17948,11.03,0.01,36.5,0.0,13.4,11.03,19,1,0
324.0,9.85,9.96,10.02,-0.44,1.41,1930,47.28,52.72,91.51,-0.08,-0.29,0.3,15516,9.905,0.01,37.66,0.0,12.06,9.905,19,1,1
280.0,1.12,1.17,1.1,-0.07,0.11,1711,8.52,91.48,16.63,-0.01,-0.18,0.08,6830,1.145,0.0,57.94,0.0,1.45,1.145,12,1,1
315.0,6.5,6.61,6.65,-0.32,1.31,701,35.48,64.52,68.88,-0.05,-0.3,0.26,1554,6.555,0.01,41.02,0.0,8.0,6.555,17,1,1
322.0,9.17,9.26,9.16,-0.41,0.52,2913,44.67,55.33,86.49,-0.08,-0.29,0.3,11352,9.215,0.01,38.43,0.0,11.24,9.215,19,1,1
315.0,3.67,3.8,3.68,-0.27,0.36,4640,29.4,70.6,57.62,-0.02,-0.62,0.14,14931,3.735,0.02,51.67,0.0,5.35,3.735,5,1,1
270.0,0.97,1.02,1.18,-0.05,0.41,112,7.0,93.0,13.63,-0.01,-0.12,0.08,437,0.995,0.0,56.28,0.0,1.2,0.995,17,1,1
305.0,3.0,3.15,3.25,-0.19,0.52,1280,21.63,78.37,42.26,-0.02,-0.35,0.16,5677,3.075,0.01,48.99,0.0,4.07,3.075,10,1,1
323.0,5.85,5.99,6.09,-0.4,0.25,3952,42.69,57.31,83.56,-0.02,-0.67,0.16,6461,5.92,0.02,47.23,0.0,8.31,5.92,5,1,1
307.5,3.94,4.03,4.07,-0.23,0.85,23,25.5,74.5,49.71,-0.03,-0.34,0.19,162,3.985,0.01,46.87,0.0,4.8,3.985,12,1,1
317.5,8.62,8.73,9.36,-0.36,2.42,10,40.18,59.82,77.63,-0.09,-0.23,0.33,342,8.675,0.01,37.09,0.0,10.18,8.675,26,1,1
285.0,2.7,2.78,3.0,-0.13,0.88,130,15.34,84.66,29.72,-0.04,-0.14,0.19,86,2.74,0.0,44.4,0.0,3.27,2.74,29,1,1
321.0,9.73,9.85,11.24,-0.4,2.01,21,44.15,55.85,85.26,-0.1,-0.23,0.34,4,9.79,0.01,36.02,0.0,11.71,9.79,26,1,1
319.0,6.73,6.83,7.65,-0.36,2.02,163,39.14,60.86,76.15,-0.04,-0.39,0.23,195,6.78,0.01,42.68,0.0,8.44,6.78,12,1,1
320.0,6.35,6.54,6.55,-0.37,0.9,428,39.67,60.33,77.33,-0.04,-0.43,0.21,839,6.445,0.02,42.99,0.0,8.3,6.445,10,1,1
260.0,0.62,0.66,0.68,-0.04,0.14,565,4.72,95.28,9.19,-0.01,-0.1,0.05,13071,0.64,0.0,63.19,0.0,0.73,0.64,15,1,1
285.0,0.67,0.72,0.72,-0.05,0.15,805,6.51,93.49,12.78,0.0,-0.25,0.05,8994,0.695,0.0,69.21,0.0,0.94,0.695,5,1,1
323.0,8.02,8.13,8.09,-0.42,1.46,1987,44.87,55.13,87.25,-0.05,-0.39,0.24,699,8.075,0.02,41.06,0.0,10.21,8.075,12,1,1
315.0,8.23,8.36,8.43,-0.34,0.93,158,37.94,62.06,73.24,-0.1,-0.21,0.34,375,8.295,0.01,36.9,0.0,9.86,8.295,29,1,1
260.0,1.05,1.1,1.15,-0.05,0.18,33,6.78,93.22,13.14,-0.01,-0.09,0.09,14172,1.075,0.0,54.0,0.0,1.25,1.075,26,1,1
280.0,1.42,1.48,1.55,-0.08,0.42,118,9.91,90.09,19.31,-0.01,-0.16,0.11,772,1.45,0.0,52.21,0.0,1.66,1.45,17,1,1
290.0,3.26,3.35,3.59,-0.15,0.84,77,17.99,82.01,34.84,-0.04,-0.16,0.22,389,3.305,0.01,43.11,0.0,3.95,3.305,29,1,1
287.0,2.13,2.18,2.22,-0.11,0.45,206,13.67,86.33,26.59,-0.02,-0.18,0.15,6302,2.155,0.01,48.65,0.0,2.72,2.155,19,1,1
317.5,6.29,6.39,7.03,-0.34,1.92,32,37.12,62.88,72.24,-0.04,-0.38,0.23,1720,6.34,0.01,43.26,0.0,7.64,6.34,12,1,1
255.0,0.68,0.7,0.74,-0.04,0.18,36,4.79,95.21,9.31,-0.01,-0.09,0.06,12358,0.69,0.0,61.34,0.0,0.8,0.69,19,1,1
305.0,2.42,2.64,2.41,-0.18,0.16,151,19.67,80.33,38.51,-0.01,-0.37,0.13,1670,2.53,0.01,50.17,0.0,3.44,2.53,8,1,1
315.0,4.26,4.52,4.24,-0.29,0.54,302,31.16,68.84,60.93,-0.02,-0.46,0.17,6104,4.39,0.01,45.98,0.0,5.91,4.39,8,1,1
290.0,3.03,3.11,3.3,-0.14,0.75,50,17.29,82.71,33.53,-0.04,-0.17,0.2,15700,3.07,0.01,44.29,0.0,3.78,3.07,26,1,1
272.0,1.18,1.22,1.1,-0.06,0.2,49,8.08,91.92,15.72,-0.01,-0.13,0.1,4655,1.2,0.0,54.0,0.0,1.41,1.2,19,1,1
275.0,0.53,0.64,0.61,-0.04,0.19,162,5.11,94.89,10.01,0.0,-0.16,0.05,619,0.585,0.0,65.7,0.0,0.73,0.585,8,1,1
305.0,1.4,1.49,1.41,-0.13,0.3,1986,14.62,85.38,28.76,0.0,-0.55,0.07,4212,1.445,0.01,61.91,0.0,2.07,1.445,3,1,1
260.0,1.15,1.2,1.14,-0.05,0.19,204,7.2,92.8,13.94,-0.02,-0.09,0.1,2598,1.175,0.0,52.23,0.0,1.33,1.175,29,1,1
258.0,0.74,0.77,0.85,-0.04,0.18,100,5.22,94.78,10.15,-0.01,-0.09,0.06,3969,0.755,0.0,59.96,0.0,0.86,0.755,19,1,1
259.0,0.76,0.79,0.73,-0.04,0.14,12,5.36,94.64,10.42,-0.01,-0.1,0.07,2305,0.775,0.0,59.46,0.0,0.88,0.775,19,1,1
275.0,1.32,1.36,1.4,-0.07,0.39,20271,8.94,91.06,17.4,-0.01,-0.14,0.1,96083,1.34,0.0,52.84,0.0,1.65,1.34,19,1,1
301.0,3.91,3.97,4.05,-0.2,0.54,225,22.74,77.26,44.18,-0.04,-0.24,0.21,10810,3.94,0.01,44.64,0.0,4.92,3.94,19,1,1
320.0,4.95,5.0,4.95,-0.35,0.12,14984,37.25,62.75,72.94,-0.02,-0.66,0.16,27040,4.975,0.02,48.82,0.0,7.05,4.975,5,1,1
273.0,1.23,1.26,1.45,-0.07,0.47,490,8.36,91.64,16.26,-0.01,-0.13,0.1,2769,1.245,0.0,53.61,0.0,1.45,1.245,19,1,1
295.0,2.39,2.47,3.03,-0.14,1.08,648,16.26,83.74,31.7,-0.02,-0.23,0.15,14039,2.43,0.01,47.9,0.0,3.03,2.43,15,1,1
300.0,3.37,3.46,3.85,-0.18,0.84,60,20.91,79.09,40.69,-0.03,-0.24,0.19,1417,3.415,0.01,45.5,0.0,4.2,3.415,17,1,1
324.0,6.18,6.36,6.18,-0.42,0.66,4529,44.62,55.38,87.3,-0.02,-0.67,0.16,3926,6.27,0.02,46.7,0.0,8.71,6.27,5,1,1
240.0,0.6,0.64,0.65,-0.03,0.16,25,4.02,95.98,7.78,-0.01,-0.06,0.06,528,0.62,0.0,62.19,0.0,0.65,0.62,26,1,1
310.0,5.26,5.37,5.25,-0.27,0.53,103,30.0,70.0,58.29,-0.05,-0.29,0.24,2574,5.315,0.01,42.6,0.0,6.52,5.315,17,1,1
310.0,6.34,6.63,7.15,-0.29,1.48,25,32.24,67.76,62.38,-0.07,-0.24,0.29,200,6.485,0.01,40.23,0.0,7.81,6.485,24,1,1
278.0,1.48,1.53,1.65,-0.08,0.31,65,9.93,90.07,19.32,-0.02,-0.15,0.11,6865,1.505,0.0,51.76,0.0,1.78,1.505,19,1,1
251.0,0.6,0.63,0.63,-0.03,0.17,15,4.28,95.72,8.32,-0.01,-0.08,0.05,2848,0.615,0.0,63.21,0.0,0.69,0.615,19,1,1
311.0,5.97,6.05,6.09,-0.29,0.54,13006,31.94,68.06,61.95,-0.05,-0.27,0.26,14199,6.01,0.01,41.92,0.0,7.4,6.01,19,1,1
280.0,1.76,1.83,1.94,-0.09,-0.16,100,11.32,88.68,22.0,-0.02,-0.14,0.14,407,1.795,0.0,48.87,0.0,2.01,1.795,22,1,1
317.0,4.12,4.28,4.32,-0.3,0.32,769,32.39,67.61,63.45,-0.02,-0.64,0.15,1127,4.2,0.02,50.6,0.0,5.83,4.2,5,1,1
270.0,0.86,0.91,0.95,-0.05,0.26,38,6.46,93.54,12.6,-0.01,-0.13,0.07,196,0.885,0.0,58.21,0.0,1.07,0.885,15,1,1
260.0,0.94,1.08,1.08,-0.05,0.26,1,6.49,93.51,12.59,-0.01,-0.09,0.09,116,1.01,0.0,55.38,0.0,1.08,1.01,24,1,1
299.0,3.59,3.65,3.48,-0.18,0.4,510,21.2,78.8,41.19,-0.03,-0.23,0.2,6470,3.62,0.01,45.22,0.0,4.39,3.62,19,1,1
245.0,0.69,0.72,0.73,-0.03,0.13,3,4.54,95.46,8.8,-0.01,-0.07,0.06,63,0.705,0.0,60.05,0.0,0.73,0.705,26,1,1
268.0,1.02,1.06,0.99,-0.05,0.05,97,7.08,92.92,13.77,-0.01,-0.12,0.09,3711,1.04,0.0,55.59,0.0,1.17,1.04,19,1,1
290.0,1.7,1.77,1.78,-0.11,0.21,49358,12.5,87.5,24.41,-0.01,-0.23,0.11,15335,1.735,0.01,53.32,0.0,2.21,1.735,12,1,1
310.0,6.58,6.69,7.24,-0.29,1.03,144,32.5,67.5,62.85,-0.07,-0.22,0.3,16901,6.635,0.01,39.21,0.0,8.01,6.635,26,1,1
290.0,1.07,1.22,1.15,-0.08,0.28,183,9.69,90.31,18.99,-0.01,-0.24,0.08,2165,1.145,0.01,57.23,0.0,1.5,1.145,8,1,1
304.0,4.45,4.52,4.39,-0.22,0.55,568,25.27,74.73,49.06,-0.04,-0.25,0.23,7646,4.485,0.01,43.85,0.0,5.55,4.485,19,1,1
300.0,4.78,4.88,4.83,-0.21,0.23,327,24.62,75.38,47.63,-0.06,-0.18,0.27,3403,4.83,0.01,40.69,0.0,5.8,4.83,29,1,1
310.0,5.73,5.8,5.74,-0.28,0.39,8088,30.91,69.09,59.97,-0.05,-0.27,0.26,113198,5.765,0.01,42.19,0.0,7.17,5.765,19,1,1
265.0,1.22,1.28,1.3,-0.06,0.09,5,7.8,92.2,15.14,-0.02,-0.1,0.11,268,1.25,0.0,52.09,0.0,1.47,1.25,26,1,1
314.0,6.74,6.81,6.66,-0.32,0.32,7148,35.13,64.87,68.11,-0.06,-0.28,0.27,15039,6.775,0.01,41.02,0.0,8.23,6.775,19,1,1
255.0,0.75,0.79,0.73,-0.04,-0.3,1,5.18,94.82,10.05,-0.01,-0.08,0.07,4,0.77,0.0,58.41,0.0,0.73,0.77,22,1,1
277.0,1.42,1.47,1.59,-0.08,0.29,259,9.58,90.42,18.64,-0.01,-0.14,0.11,6496,1.445,0.0,52.09,0.0,1.69,1.445,19,1,1
318.0,7.89,7.95,8.05,-0.36,0.63,2658,39.72,60.28,76.94,-0.07,-0.29,0.29,7770,7.92,0.01,39.76,0.0,9.62,7.92,19,1,1
266.0,0.96,0.99,1.02,-0.05,0.13,388,6.66,93.34,12.95,-0.01,-0.11,0.08,6424,0.975,0.0,56.46,0.0,1.12,0.975,19,1,1
285.0,1.37,1.43,1.45,-0.09,0.43,242,10.28,89.72,20.07,-0.01,-0.2,0.1,2551,1.4,0.0,55.55,0.0,1.78,1.4,12,1,1
325.0,8.73,8.84,8.91,-0.45,0.78,4157,47.93,52.07,93.15,-0.05,-0.38,0.24,5404,8.785,0.02,40.17,0.0,11.12,8.785,12,1,1
297.0,3.29,3.34,3.23,-0.17,0.48,937,19.71,80.29,38.31,-0.03,-0.22,0.19,12911,3.315,0.01,45.74,0.0,4.13,3.315,19,1,1
315.0,4.99,5.17,5.1,-0.3,0.55,253,32.75,67.25,63.88,-0.03,-0.41,0.2,1048,5.08,0.01,45.12,0.0,6.63,5.08,10,1,1
310.0,6.03,6.15,6.67,-0.28,0.94,28,31.53,68.47,61.1,-0.06,-0.25,0.28,862,6.09,0.01,40.52,0.0,7.32,6.09,22,1,1
295.0,1.81,1.94,1.85,-0.12,0.45,84,14.06,85.94,27.49,-0.01,-0.27,0.11,702,1.875,0.01,53.16,0.0,2.35,1.875,10,1,1
269.0,1.06,1.09,1.26,-0.06,0.43,154,7.3,92.7,14.21,-0.01,-0.12,0.09,4327,1.075,0.0,55.16,0.0,1.29,1.075,19,1,1
270.0,1.31,1.48,1.54,-0.07,0.44,11,8.76,91.24,17.0,-0.02,-0.11,0.11,185,1.395,0.0,51.61,0.0,1.66,1.395,24,1,1
309.0,5.5,5.56,5.65,-0.27,0.9,19185,29.91,70.09,58.03,-0.05,-0.27,0.25,6095,5.53,0.01,42.46,0.0,6.83,5.53,19,1,1
315.0,2.75,2.89,2.79,-0.25,0.24,4770,26.36,73.64,51.83,-0.01,-0.77,0.11,4800,2.82,0.02,55.03,0.0,4.21,2.82,3,1,1
305.0,5.45,5.57,5.56,-0.24,0.66,247,27.99,72.01,54.17,-0.06,-0.21,0.28,1375,5.51,0.01,40.53,0.0,6.71,5.51,26,1,1
319.0,4.63,4.78,4.63,-0.33,0.65,573,35.57,64.43,69.67,-0.02,-0.65,0.15,972,4.705,0.02,49.44,0.0,6.67,4.705,5,1,1
274.0,1.27,1.31,1.46,-0.07,0.43,55,8.64,91.36,16.81,-0.01,-0.13,0.1,7913,1.29,0.0,53.21,0.0,1.61,1.29,19,1,1
310.0,6.91,7.02,7.09,-0.29,1.34,8347,33.04,66.96,63.84,-0.08,-0.21,0.32,663,6.965,0.01,38.22,0.0,8.47,6.965,29,1,1
320.0,7.04,7.14,7.0,-0.37,0.5,1795,40.53,59.47,78.84,-0.05,-0.39,0.23,3892,7.09,0.01,42.3,0.0,9.03,7.09,12,1,1
260.0,0.87,0.92,0.67,-0.04,-0.53,1,5.97,94.03,11.6,-0.01,-0.09,0.08,236,0.895,0.0,56.3,0.0,0.67,0.895,22,1,1
280.0,1.6,1.64,1.6,-0.09,0.13,8399,10.63,89.37,20.67,-0.02,-0.15,0.12,77909,1.62,0.0,50.98,0.0,2.01,1.62,19,1,1
321.0,5.2,5.35,5.2,-0.37,0.93,1193,39.01,60.99,76.38,-0.02,-0.66,0.16,1899,5.275,0.02,48.3,0.0,7.4,5.275,5,1,1
286.0,2.05,2.1,2.1,-0.11,0.14,254,13.21,86.79,25.7,-0.02,-0.17,0.14,4798,2.075,0.0,49.02,0.0,2.5,2.075,19,1,1
295.0,1.12,1.18,1.15,-0.09,0.13,4918,10.51,89.49,20.63,-0.01,-0.35,0.07,8832,1.15,0.01,62.54,0.0,1.58,1.15,5,1,1
325.0,11.13,11.25,11.17,-0.45,1.81,277,49.0,51.0,94.56,-0.11,-0.23,0.35,2080,11.19,0.01,34.7,0.0,13.26,11.19,26,1,1
321.0,7.35,7.46,8.77,-0.39,2.34,219,41.94,58.06,81.58,-0.05,-0.39,0.24,71,7.405,0.01,41.89,0.0,9.08,7.405,12,1,1
320.0,9.14,9.45,10.43,-0.39,2.24,22,42.85,57.15,82.79,-0.09,-0.25,0.33,119,9.295,0.01,37.26,0.0,10.87,9.295,24,1,1
305.0,2.0,2.1,2.12,-0.16,0.55,1814,17.66,82.34,34.65,-0.01,-0.48,0.1,7462,2.05,0.01,56.87,0.0,2.89,2.05,5,1,1
265.0,0.53,0.57,0.59,-0.03,0.19,5,4.42,95.58,8.64,0.0,-0.13,0.04,190,0.55,0.0,68.92,0.0,0.62,0.55,10,1,1
302.5,1.72,1.76,1.71,-0.14,0.26,1456,15.37,84.63,30.16,-0.01,-0.44,0.09,6260,1.74,0.01,57.93,0.0,2.49,1.74,5,1,1
305.0,5.76,5.86,5.57,-0.25,0.83,106,28.59,71.41,55.28,-0.07,-0.2,0.3,1051,5.81,0.01,39.46,0.0,6.91,5.81,29,1,1
250.0,0.75,0.81,0.8,-0.04,0.17,1,5.04,94.96,9.78,-0.01,-0.08,0.07,138,0.78,0.0,59.86,0.0,0.8,0.78,24,1,1
247.0,0.53,0.56,0.54,-0.03,0.09,52,3.82,96.18,7.41,-0.01,-0.08,0.05,2606,0.545,0.0,65.02,0.0,0.62,0.545,19,1,1
295.0,1.39,1.55,1.45,-0.11,0.3,491,12.2,87.8,23.9,-0.01,-0.28,0.09,5679,1.47,0.01,54.66,0.0,1.95,1.47,8,1,1
326.0,9.11,9.22,9.29,-0.47,1.84,184,49.51,50.49,96.2,-0.06,-0.38,0.25,1495,9.165,0.02,39.73,0.0,11.54,9.165,12,1,1
270.0,1.58,1.64,1.64,-0.07,0.33,223,9.61,90.39,18.62,-0.02,-0.11,0.13,328,1.61,0.0,48.8,0.0,1.87,1.61,29,1,1
280.0,0.54,0.58,0.55,-0.04,0.1,2686,5.26,94.74,10.32,0.0,-0.22,0.04,1696,0.56,0.0,72.94,0.0,0.74,0.56,5,1,1
295.0,3.69,3.78,3.73,-0.17,0.61,211,20.38,79.62,39.49,-0.04,-0.18,0.23,4277,3.735,0.01,43.0,0.0,4.65,3.735,26,1,1
245.0,0.65,0.71,0.61,-0.03,0.0,1,4.43,95.57,8.58,-0.01,-0.07,0.06,30,0.68,0.0,61.99,0.0,0.61,0.68,24,1,1
285.0,0.84,0.97,0.9,-0.06,0.2,78,7.77,92.23,15.22,-0.01,-0.21,0.07,6875,0.905,0.0,59.95,0.0,1.17,0.905,8,1,1
313.0,3.26,3.37,3.3,-0.24,0.07,1001,26.63,73.37,52.21,-0.01,-0.59,0.13,5125,3.315,0.01,52.71,0.0,4.73,3.315,5,1,1
325.0,10.22,10.32,10.24,-0.45,0.64,6087,48.63,51.37,94.09,-0.08,-0.29,0.3,85858,10.27,0.01,37.29,0.0,12.56,10.27,19,1,1
315.0,7.32,7.43,8.54,-0.33,1.61,49,36.72,63.28,71.1,-0.07,-0.26,0.3,312,7.375,0.01,39.06,0.0,8.75,7.375,22,1,1
320.0,5.57,5.86,5.93,-0.36,0.62,928,38.56,61.44,75.34,-0.03,-0.48,0.19,2491,5.715,0.02,43.74,0.0,7.6,5.715,8,1,1
310.0,2.77,2.83,2.74,-0.21,0.13,33379,23.0,77.0,45.1,-0.01,-0.56,0.12,39944,2.8,0.01,54.52,0.0,3.99,2.8,5,1,1
255.0,0.59,0.63,0.62,-0.03,-0.17,3,4.39,95.61,8.53,-0.01,-0.09,0.05,30,0.61,0.0,63.19,0.0,0.62,0.61,17,1,1
317.5,4.26,4.38,4.43,-0.31,0.59,1800,33.16,66.84,64.96,-0.02,-0.64,0.15,2156,4.32,0.02,50.3,0.0,6.08,4.32,5,1,1
280.0,1.91,2.11,2.19,-0.1,0.38,28,12.13,87.87,23.55,-0.02,-0.14,0.15,32,2.01,0.0,48.36,0.0,2.31,2.01,24,1,1
