Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
SPY201204C377,.11,Z,.05,+.06,399,4.59%,95.41%,9.30%,.00,0,-.06,.04,399,"1,685",.115,.02,15.29%,0,.16,.115,.11,W,.12,W,4 DEC 20,377,9.92,I,10.00,I,SPY201204P377,16.87,A,-1.00,<empty>,20,100.00%,0.00%,0.00%,-.04,0,-.04,.00,20,7,.1182,.00,0.09%,9.8418,<empty>,9.960,,
SPY201204C378,.09,P,.04,+.06,168,3.47%,96.53%,7.03%,.00,0,-.05,.03,168,"1,110",.085,.01,15.59%,0,.12,.085,.08,W,.09,W,4 DEC 20,378,10.89,I,10.98,Q,SPY201204P378,11.48,P,-1.00,-9.52,1,100.00%,0.00%,0.00%,-.04,0,-.04,.00,1,17,.0932,.00,0.10%,10.8418,11.48,10.935,,
SPY201204C379,.07,D,.03,+.04,194,2.68%,97.32%,5.42%,.00,0,-.04,.02,194,827,.065,.01,15.98%,0,.09,.065,.06,W,.07,W,4 DEC 20,379,11.87,I,11.96,Q,SPY201204P379,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,.00,0,.00,-128.42,<empty>,0,.0732,.00,0.09%,11.8418,<empty>,11.915,,
SPY201204C380,.05,N,.02,+.02,250,1.91%,98.09%,3.87%,.00,0,-.03,.02,250,"4,082",.045,.01,16.11%,0,.07,.045,.04,W,.05,N,4 DEC 20,380,12.85,I,12.92,I,SPY201204P380,13.01,Z,-1.00,-5.90,2,100.00%,0.00%,0.00%,-.04,0,-.04,.00,2,84,.0432,.00,0.09%,12.8418,13.24,12.885,,
SPY201204C381,.04,P,.02,+.02,43,1.49%,98.51%,3.02%,.00,0,-.02,.02,43,"1,551",.035,.01,16.52%,0,.05,.035,.03,W,.04,P,4 DEC 20,381,13.84,I,13.92,I,SPY201204P381,15.52,Z,-1.00,-4.36,1,100.00%,0.00%,0.00%,-.04,0,-.04,.00,1,7,.0382,.00,0.09%,13.8418,15.52,13.880,,
SPY201204C382,.02,Q,.01,0,116,1.41%,98.59%,2.86%,.00,0,-.02,.01,116,"3,125",.035,.01,17.51%,0,.03,.035,.03,W,.04,W,4 DEC 20,382,14.79,Q,14.92,I,SPY201204P382,24.81,C,-1.00,+3.31,1,100.00%,0.00%,0.00%,-.04,0,-.04,.00,1,2,.0132,.00,0.10%,14.8418,<empty>,14.855,,
SPY201204C383,.02,N,.01,+.01,454,1.05%,98.95%,2.11%,.00,0,-.02,.01,454,"1,868",.025,.00,17.72%,0,.03,.025,.02,W,.03,W,4 DEC 20,383,15.83,I,15.92,I,SPY201204P383,27.19,A,-1.00,+1.61,4,100.00%,0.00%,0.00%,-.04,0,-.04,.00,4,4,.0332,.00,0.10%,15.8418,<empty>,15.875,,
SPY201204C384,.01,C,.01,-.01,115,0.64%,99.36%,1.30%,.00,0,-.01,.01,115,"4,386",.015,.00,17.44%,0,.03,.015,.01,W,.02,P,4 DEC 20,384,16.83,I,16.91,I,SPY201204P384,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,-.04,0,-.04,.00,<empty>,0,.0282,.00,0.10%,16.8418,<empty>,16.870,,
SPY201204C385,.02,E,.01,0,51,0.61%,99.39%,1.24%,.00,0,-.01,.01,51,"4,657",.015,.00,18.33%,0,.02,.015,.01,W,.02,W,4 DEC 20,385,17.82,I,17.91,I,SPY201204P385,24.35,A,-1.00,+1.35,4,100.00%,0.00%,0.00%,-.04,0,-.04,.00,4,10,.0232,.00,0.09%,17.8418,<empty>,17.865,,
SPY201204C386,.02,I,.01,+.01,16,0.59%,99.41%,1.18%,.00,0,-.01,.01,16,516,.015,.00,19.20%,0,.02,.015,.01,W,.02,W,4 DEC 20,386,18.82,I,18.91,I,SPY201204P386,19.45,H,-1.00,-5.97,3,100.00%,0.00%,0.00%,-.04,0,-.04,.00,3,0,.0232,.00,0.09%,18.8418,19.45,18.865,,
SPY201204C387,.01,W,.01,0,403,0.56%,99.44%,1.13%,.00,0,-.01,.01,403,"3,683",.015,.00,20.07%,0,.02,.015,.01,W,.02,W,4 DEC 20,387,19.82,Q,19.92,Q,SPY201204P387,20.53,H,-1.00,<empty>,4,100.00%,0.00%,0.00%,-.04,0,-.04,.00,4,0,.0282,.00,0.10%,19.8418,20.53,19.870,,
SPY201204C388,.01,I,.00,-.01,374,0.22%,99.78%,0.45%,.00,0,.00,.00,374,742,.005,.00,18.74%,0,.01,.005,0,I,.01,W,4 DEC 20,388,20.81,Q,20.91,Q,SPY201204P388,21.36,Z,-1.00,<empty>,4,100.00%,0.00%,0.00%,.00,0,.00,-218.42,4,0,.0182,.00,0.09%,20.8418,21.36,20.860,,
SPY201204C389,.01,A,.00,0,151,0.21%,99.79%,0.43%,.00,0,.00,.00,151,10,.005,.00,19.53%,0,.01,.005,0,I,.01,P,4 DEC 20,389,21.82,I,21.91,I,SPY201204P389,28.27,A,-1.00,<empty>,4,100.00%,0.00%,0.00%,-.04,0,-.04,.00,4,4,.0232,.00,0.09%,21.8418,<empty>,21.865,,
SPY201204C390,.01,W,.00,0,13,0.21%,99.79%,0.41%,.00,0,.00,.00,13,349,.005,.00,20.30%,0,.01,.005,0,I,.01,W,4 DEC 20,390,22.82,I,22.90,I,SPY201204P390,29.30,Z,-1.00,+.45,2,100.00%,0.00%,0.00%,.00,0,.00,-238.42,2,13,.0182,.00,0.09%,22.8418,<empty>,22.860,,
SPY201204C391,.01,C,.00,-.02,301,0.20%,99.80%,0.40%,.00,0,.00,.00,301,378,.005,.00,21.08%,0,<empty>,.005,0,I,.01,W,4 DEC 20,391,23.82,I,23.90,I,SPY201204P391,29.40,A,-1.00,0,0,100.00%,0.00%,0.00%,.00,0,.00,-248.42,0,7,.0182,.00,0.09%,23.8418,<empty>,23.860,,
SPY201204C392,.01,C,.00,0,100,0.19%,99.81%,0.38%,.00,0,.00,.00,100,803,.005,.00,21.84%,0,.01,.005,0,H,.01,W,4 DEC 20,392,24.80,Q,24.90,I,SPY201204P392,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,-.04,0,-.04,.00,<empty>,0,.0082,.00,0.10%,24.8418,<empty>,24.850,,
SPY201204C393,.01,D,.00,-.01,1,0.18%,99.82%,0.37%,.00,0,.00,.00,1,18,.005,.00,22.61%,0,<empty>,.005,0,I,.01,W,4 DEC 20,393,25.81,Q,25.90,I,SPY201204P393,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,-.04,0,-.04,.00,<empty>,0,.0132,.00,0.10%,25.8418,<empty>,25.855,,
SPY201204C394,.01,P,.00,0,12,0.18%,99.82%,0.36%,.00,0,.00,.00,12,39,.005,.00,23.37%,0,<empty>,.005,0,B,.01,W,4 DEC 20,394,26.79,Q,26.91,Q,SPY201204P394,37.36,N,-1.00,<empty>,1,100.00%,0.00%,0.00%,.00,0,.00,-278.42,1,1,.0082,.00,0.10%,26.8418,<empty>,26.850,,
SPY201204C395,.01,E,.00,-.01,4,0.17%,99.83%,0.35%,.00,0,.00,.00,4,668,.005,.00,24.12%,0,<empty>,.005,0,J,.01,W,4 DEC 20,395,27.82,I,27.90,I,SPY201204P395,37.87,I,-1.00,+4.00,2,100.00%,0.00%,0.00%,.00,0,.00,-288.42,2,18,.0182,.00,0.09%,27.8418,<empty>,27.860,,
SPY201204C396,.01,N,.00,<empty>,43,0.17%,99.83%,0.34%,.00,0,.00,.00,43,43,.005,.00,24.87%,0,<empty>,.005,0,B,.01,W,4 DEC 20,396,28.81,I,28.91,Q,SPY201204P396,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,.00,0,.00,-298.42,<empty>,0,.0182,.00,0.09%,28.8418,<empty>,28.860,,
SPY201204C397,0, ,.00,0,<empty>,0.16%,99.84%,0.33%,.00,0,.00,.00,<empty>,0,.005,.00,25.61%,0,<empty>,.005,0,B,.01,W,4 DEC 20,397,29.81,I,29.91,Q,SPY201204P397,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,.00,0,.00,-308.42,<empty>,0,.0182,.00,0.09%,29.8418,<empty>,29.860,,
SPY201204C398,0, ,.00,0,<empty>,0.16%,99.84%,0.32%,.00,0,.00,.00,<empty>,0,.005,.00,26.36%,0,<empty>,.005,0,B,.01,W,4 DEC 20,398,30.82,I,30.91,Q,SPY201204P398,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,-.04,0,-.04,.00,<empty>,0,.0232,.00,0.09%,30.8418,<empty>,30.865,,
SPY201204C399,0, ,.00,0,<empty>,0.15%,99.85%,0.31%,.00,0,.00,.00,<empty>,0,.005,.00,27.10%,0,<empty>,.005,0,B,.01,W,4 DEC 20,399,31.81,I,31.91,Q,SPY201204P399,32.21,N,-1.00,<empty>,9,100.00%,0.00%,0.00%,.00,0,.00,-328.42,9,0,.0182,.00,0.09%,31.8418,32.21,31.860,,
SPY201204C400,.01,A,.00,0,2,0.15%,99.85%,0.30%,.00,0,.00,.00,2,"1,726",.005,.00,27.84%,0,.01,.005,0,B,.01,W,4 DEC 20,400,32.81,I,32.91,Q,SPY201204P400,39.34,C,-1.00,+.69,6,100.00%,0.00%,0.00%,.00,0,.00,-338.42,6,0,.0182,.00,0.09%,32.8418,<empty>,32.860,,
SPY201204C405,.01,I,.00,0,16,0.13%,99.87%,0.27%,.00,0,.00,.00,16,624,.005,.00,31.46%,0,<empty>,.005,0,B,.01,W,4 DEC 20,405,37.81,I,37.91,Q,SPY201204P405,39.16,Q,-1.00,-2.81,1,100.00%,0.00%,0.00%,.00,0,.00,-388.42,1,2,.0182,.00,0.09%,37.8418,39.16,37.860,,
SPY201204C410,.01,A,.00,0,156,0.12%,99.88%,0.24%,.00,0,.00,.00,156,343,.005,.00,35.01%,0,<empty>,.005,0,B,.01,W,4 DEC 20,410,42.81,I,42.90,I,SPY201204P410,52.57,C,-1.00,<empty>,1,100.00%,0.00%,0.00%,-.04,0,-.04,.00,1,1,.0132,.00,0.10%,42.8418,<empty>,42.855,,
SPY201204C415,.01,I,.00,0,1,0.11%,99.89%,0.21%,.00,0,.00,.00,1,165,.005,.00,38.48%,0,<empty>,.005,0,B,.01,W,4 DEC 20,415,47.75,Q,47.90,I,SPY201204P415,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,.00,<empty>,.00,-488.42,<empty>,0,-.0168,.00,--,47.8418,<empty>,47.825,,
SPY201204C420,.01,W,.00,-.01,10,0.10%,99.90%,0.20%,.00,0,.00,.00,10,651,.005,.00,41.89%,0,<empty>,.005,0,B,.01,W,4 DEC 20,420,52.81,I,52.90,I,SPY201204P420,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,-.05,0,-.04,.00,<empty>,0,.0132,.00,0.10%,52.8418,<empty>,52.855,,
SPY201204C425,.01,Q,.00,<empty>,14,0.09%,99.91%,0.18%,.00,0,.00,.00,14,14,.005,.00,45.23%,0,<empty>,.005,0,B,.01,W,4 DEC 20,425,57.79,N,57.91,Q,SPY201204P425,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,.00,0,.00,-588.42,<empty>,0,.0082,.00,0.09%,57.8418,<empty>,57.850,,
SPY201204C430,.01,W,.00,-.01,398,0.08%,99.92%,0.17%,.00,0,.00,.00,398,157,.005,.00,48.51%,0,<empty>,.005,0,B,.01,W,4 DEC 20,430,62.80,Q,62.90,I,SPY201204P430,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,-.05,0,-.04,.00,<empty>,0,.0082,.00,0.10%,62.8418,<empty>,62.850,,
SPY201204C435,0, ,.00,0,<empty>,0.08%,99.92%,0.16%,.00,0,.00,.00,<empty>,0,.005,.00,51.73%,0,<empty>,.005,0,B,.01,W,4 DEC 20,435,67.81,I,67.91,Q,SPY201204P435,0, ,-1.00,0,<empty>,100.00%,0.00%,0.00%,.00,0,.00,-688.42,<empty>,0,.0182,.00,0.09%,67.8418,<empty>,67.860,,
SPY201204C440,.02,A,.00,+.01,70,0.07%,99.93%,0.15%,.00,0,.00,.00,70,78,.005,.00,54.90%,0,<empty>,.005,0,B,.01,W,4 DEC 20,440,72.69,Q,73.03,Q,SPY201204P440,108.91,C,-1.00,<empty>,4,100.00%,0.00%,0.00%,.00,0,.00,-738.42,4,0,.0182,.00,0.09%,72.8418,<empty>,72.860,,
SPY201207C170,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0082,.00,--,197.1582,<empty>,197.150,196.96,X,197.34,A,7 DEC 20,170,0,B,.01,W,SPY201207P170,.01,C,.00,-.02,10,0.05%,99.95%,0.10%,.00,0,.00,.00,10,15,.005,.00,163.88%,0,<empty>,.005,,
SPY201207C175,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0082,.00,--,192.1582,<empty>,192.150,191.96,A,192.34,W,7 DEC 20,175,0,B,.01,W,SPY201207P175,.01,Q,.00,0,3,0.05%,99.95%,0.10%,.00,0,.00,.00,3,11,.005,.00,157.97%,0,<empty>,.005,,
SPY201207C180,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0082,.00,--,187.1582,<empty>,187.150,186.96,A,187.34,W,7 DEC 20,180,0,B,.01,W,SPY201207P180,0, ,.00,0,<empty>,0.05%,99.95%,0.10%,.00,0,.00,.00,<empty>,0,.005,.00,152.22%,0,<empty>,.005,,
SPY201207C185,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0082,.00,--,182.1582,<empty>,182.150,181.96,A,182.34,W,7 DEC 20,185,0,B,.01,W,SPY201207P185,0, ,.00,0,<empty>,0.05%,99.95%,0.10%,.00,0,.00,.00,<empty>,10,.005,.00,146.63%,0,<empty>,.005,,
SPY201207C190,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,177.1582,<empty>,177.155,176.96,N,177.35,Z,7 DEC 20,190,0,B,.01,W,SPY201207P190,.01,P,.00,-.01,10,0.05%,99.95%,0.10%,.00,0,.00,.00,10,107,.005,.00,141.18%,0,<empty>,.005,,
SPY201207C195,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0082,.00,--,172.1582,<empty>,172.150,171.96,A,172.34,N,7 DEC 20,195,0,B,.01,W,SPY201207P195,.01,A,.00,0,200,0.05%,99.95%,0.11%,.00,0,.00,.00,200,853,.005,.00,135.87%,0,<empty>,.005,,
SPY201207C200,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,167.1582,<empty>,167.145,166.95,H,167.34,N,7 DEC 20,200,0,B,.01,W,SPY201207P200,.01,D,.00,0,4,0.05%,99.95%,0.11%,.00,0,.00,.00,4,247,.005,.00,130.69%,0,<empty>,.005,,
SPY201207C205,0, ,.90,0,<empty>,89.80%,10.20%,18.74%,.00,0,-.01,.06,<empty>,0,.0068,.00,286.46%,162.1582,<empty>,162.165,161.97,Z,162.36,N,7 DEC 20,205,0,B,.01,W,SPY201207P205,.03,C,.00,<empty>,9,0.06%,99.94%,0.11%,.00,0,.00,.00,9,9,.005,.00,125.63%,0,<empty>,.005,,
SPY201207C210,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,157.1582,<empty>,157.145,156.95,N,157.34,N,7 DEC 20,210,0,B,.01,W,SPY201207P210,.02,P,.00,-.33,100,0.06%,99.94%,0.11%,.00,0,.00,.00,100,120,.005,.00,120.70%,0,<empty>,.005,,
SPY201207C215,0, ,.90,0,<empty>,90.82%,9.18%,17.03%,.00,0,.00,.06,<empty>,0,.0018,.00,256.29%,152.1582,<empty>,152.160,151.97,A,152.35,Z,7 DEC 20,215,0,B,.01,W,SPY201207P215,.01,W,.00,-.01,1,0.06%,99.94%,0.11%,.00,0,.00,.00,1,27,.005,.00,115.87%,0,<empty>,.005,,
SPY201207C220,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,147.1582,<empty>,147.155,146.96,W,147.35,Z,7 DEC 20,220,0,B,.01,W,SPY201207P220,.01,W,.00,-.01,50,0.06%,99.94%,0.11%,.00,0,.00,.00,50,91,.005,.00,111.15%,0,<empty>,.005,,
SPY201207C225,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,142.1582,<empty>,142.155,141.96,N,142.35,Z,7 DEC 20,225,0,B,.01,W,SPY201207P225,.01,C,.00,0,100,0.06%,99.94%,0.12%,.00,0,.00,.00,100,137,.005,.00,106.52%,0,<empty>,.005,,
SPY201207C230,0, ,.91,0,<empty>,92.11%,7.89%,14.83%,.00,0,-.01,.06,<empty>,1,.0068,.00,216.15%,137.1582,<empty>,137.165,136.98,X,137.35,N,7 DEC 20,230,0,B,.01,W,SPY201207P230,.01,I,.00,-.01,1,0.06%,99.94%,0.12%,.00,0,.00,.00,1,17,.005,.00,102.00%,0,<empty>,.005,,
SPY201207C235,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,132.1582,<empty>,132.155,131.96,W,132.35,Z,7 DEC 20,235,0,B,.01,W,SPY201207P235,.02,H,.00,0,20,0.06%,99.94%,0.12%,.00,0,.00,.00,20,48,.005,.00,97.56%,0,<empty>,.005,,
SPY201207C240,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,127.1582,<empty>,127.145,126.96,Q,127.33,Q,7 DEC 20,240,0,B,.01,W,SPY201207P240,.02,W,.00,-.03,1,0.06%,99.94%,0.12%,.00,0,.00,.00,1,89,.005,.00,93.21%,0,<empty>,.005,,
SPY201207C245,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0082,.00,--,122.1582,<empty>,122.150,121.96,Q,122.34,Q,7 DEC 20,245,0,B,.01,W,SPY201207P245,.01,D,.00,-.01,3,0.06%,99.94%,0.13%,.00,0,.00,.00,3,18,.005,.00,88.95%,0,<empty>,.005,,
SPY201207C250,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,117.1582,<empty>,117.155,116.97,Q,117.34,Q,7 DEC 20,250,0,B,.01,W,SPY201207P250,.01,X,.00,-.02,1,0.07%,99.93%,0.13%,.00,0,.00,.00,1,100,.005,.00,84.76%,0,<empty>,.005,,
SPY201207C255,0, ,.92,0,<empty>,93.80%,6.20%,11.84%,.00,0,.00,.06,<empty>,0,.0018,.00,159.54%,112.1582,<empty>,112.160,111.98,Q,112.34,Q,7 DEC 20,255,0,B,.01,W,SPY201207P255,.01,C,.00,-.03,283,0.07%,99.93%,0.13%,.00,0,.00,.00,283,258,.005,.00,80.65%,0,<empty>,.005,,
SPY201207C260,0, ,.92,0,<empty>,94.08%,5.92%,11.34%,.00,0,.00,.06,<empty>,0,.0018,.00,149.55%,107.1582,<empty>,107.160,106.98,Q,107.34,Q,7 DEC 20,260,0,B,.01,W,SPY201207P260,.01,Q,.00,0,0,0.07%,99.93%,0.14%,.00,0,.00,.00,0,52,.005,.00,76.60%,0,<empty>,.005,,
SPY201207C265,0, ,.92,0,<empty>,94.35%,5.65%,10.86%,.00,0,.00,.06,<empty>,0,.0018,.00,139.92%,102.1582,<empty>,102.160,101.98,Q,102.34,Q,7 DEC 20,265,0,B,.01,W,SPY201207P265,.01,W,.00,0,52,0.07%,99.93%,0.14%,.00,0,.00,.00,52,"3,504",.005,.00,72.63%,0,.01,.005,,
SPY201207C270,0, ,.93,0,<empty>,94.60%,5.40%,10.41%,.00,0,.00,.06,<empty>,0,.0018,.00,130.65%,97.1582,<empty>,97.160,96.98,Q,97.34,Q,7 DEC 20,270,0,B,.01,W,SPY201207P270,.02,C,.00,+.01,22,0.07%,99.93%,0.15%,.00,0,.00,.00,22,674,.005,.00,68.72%,0,.02,.005,,
SPY201207C275,76.20,P,1.00,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.0082,.00,--,92.1582,<empty>,92.150,91.97,Q,92.33,Q,7 DEC 20,275,.01,W,.02,W,SPY201207P275,.02,C,.00,0,2,0.20%,99.80%,0.39%,.00,0,-.01,.00,2,488,.015,.00,71.20%,0,.02,.015,,
SPY201207C280,75.78,I,1.00,+3.60,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.0032,.00,--,87.1582,<empty>,87.155,86.97,Q,87.34,Q,7 DEC 20,280,.01,W,.02,W,SPY201207P280,.02,I,.00,0,0,0.21%,99.79%,0.40%,.00,0,-.01,.00,0,767,.015,.00,67.03%,0,<empty>,.015,,
SPY201207C285,72.52,E,.93,+4.96,3,95.25%,4.75%,9.23%,.00,0,-.01,.05,3,4,.0068,.00,104.89%,82.1582,<empty>,82.165,81.98,Q,82.35,Q,7 DEC 20,285,.01,W,.02,W,SPY201207P285,.02,W,.00,0,0,0.22%,99.78%,0.42%,.00,0,-.01,.00,0,159,.015,.00,63.04%,0,<empty>,.015,,
SPY201207C290,65.89,I,.93,+3.68,1,95.27%,4.73%,9.20%,.01,0,-.06,.05,1,1,.0568,.00,97.82%,77.1582,<empty>,77.215,77.11,Q,77.32,Q,7 DEC 20,290,.01,X,.02,W,SPY201207P290,.02,W,.00,0,25,0.22%,99.78%,0.44%,.00,0,-.01,.00,25,359,.015,.00,58.93%,0,.02,.015,,
SPY201207C295,0, ,.94,0,<empty>,95.64%,4.36%,8.49%,.00,0,.00,.05,<empty>,4,.0018,.00,89.03%,72.1582,<empty>,72.160,71.99,Q,72.33,Q,7 DEC 20,295,.01,X,.02,W,SPY201207P295,.02,W,.00,-.01,1,0.23%,99.77%,0.46%,.00,0,-.01,.00,1,81,.015,.00,55.07%,0,.02,.015,,
SPY201207C300,61.87,C,.94,+10.87,5,95.70%,4.30%,8.40%,.01,0,-.03,.05,5,5,.0318,.00,82.12%,67.1582,<empty>,67.190,67.14,I,67.24,Q,7 DEC 20,300,.02,W,.03,W,SPY201207P300,.03,A,.00,-.01,69,0.37%,99.63%,0.74%,.00,0,-.01,.00,69,767,.025,.00,53.68%,0,.03,.025,,
SPY201207C305,61.40,D,.94,+9.35,1,95.85%,4.15%,8.11%,.01,0,-.03,.05,1,6,.0318,.00,74.88%,62.1582,61.40,62.190,62.14,I,62.24,I,7 DEC 20,305,.02,X,.03,W,SPY201207P305,.03,I,.00,0,0,0.39%,99.61%,0.78%,.00,0,-.01,.00,0,"1,051",.025,.00,49.68%,0,<empty>,.025,,
SPY201207C310,54.05,X,.94,+1.30,1,95.95%,4.05%,7.94%,.01,0,-.04,.05,1,5,.0418,.00,68.08%,57.1582,<empty>,57.200,57.15,I,57.25,Q,7 DEC 20,310,.03,P,.04,W,SPY201207P310,.04,I,.00,0,1,0.55%,99.45%,1.09%,.00,0,-.02,.01,1,"1,168",.035,.00,47.37%,0,.04,.035,,
SPY201207C315,47.74,I,.94,-.44,2,96.12%,3.88%,7.62%,.01,0,-.03,.05,2,2,.0318,.00,61.10%,52.1582,<empty>,52.190,52.15,I,52.23,I,7 DEC 20,315,.03,W,.04,W,SPY201207P315,.03,A,.00,-.02,3,0.59%,99.41%,1.16%,.00,0,-.02,.01,3,688,.035,.00,43.32%,0,.03,.035,,
SPY201207C320,46.28,A,.95,+4.52,10,96.12%,3.88%,7.64%,.01,0,-.05,.05,10,32,.0518,.00,54.95%,47.1582,46.28,47.210,47.16,I,47.26,Q,7 DEC 20,320,.03,W,.04,W,SPY201207P320,.04,W,-.01,-.02,101,0.63%,99.37%,1.24%,.00,0,-.02,.01,101,"1,471",.035,.00,39.25%,0,.05,.035,,
SPY201207C325,35.94,C,.95,+3.63,1,96.20%,3.80%,7.49%,.01,0,-.05,.05,1,7,.0518,.00,48.59%,42.1582,<empty>,42.210,42.16,Q,42.26,I,7 DEC 20,325,.04,W,.05,W,SPY201207P325,.05,I,-.01,-.02,10,0.84%,99.16%,1.66%,.00,0,-.02,.01,10,502,.045,.00,36.35%,0,.05,.045,,
SPY201207C326,31.60,N,.95,-4.85,2,96.21%,3.79%,7.46%,.01,0,-.05,.05,2,30,.0518,.00,47.34%,41.1582,<empty>,41.210,41.16,Q,41.26,I,7 DEC 20,326,.04,W,.05,W,SPY201207P326,.05,X,-.01,-.08,10,0.86%,99.14%,1.69%,.00,0,-.02,.01,10,407,.045,.00,35.54%,0,.05,.045,,
SPY201207C328,38.86,C,.95,+3.84,1,96.16%,3.84%,7.56%,.01,0,-.06,.05,1,7,.0618,.00,45.08%,39.1582,38.86,39.220,39.17,I,39.27,Q,7 DEC 20,328,.05,P,.06,W,SPY201207P328,.05,C,-.01,-.04,1,1.04%,98.96%,2.06%,.00,0,-.03,.01,1,"1,507",.055,.00,34.77%,0,.05,.055,,
SPY201207C329,33.20,I,.95,<empty>,1,96.17%,3.83%,7.55%,.01,0,-.06,.05,1,1,.0618,.00,43.86%,38.1582,<empty>,38.220,38.17,I,38.27,Q,7 DEC 20,329,.05,W,.06,W,SPY201207P329,.06,D,-.01,-.03,42,1.07%,98.93%,2.11%,.00,0,-.03,.01,42,312,.055,.00,33.97%,0,.06,.055,,
SPY201207C330,36.15,N,.95,+5.48,2,96.18%,3.82%,7.54%,.01,0,-.06,.05,2,22,.0618,.00,42.65%,37.1582,36.32,37.220,37.17,Q,37.27,Q,7 DEC 20,330,.05,W,.06,W,SPY201207P330,.05,A,-.01,-.04,5,1.07%,98.93%,2.13%,.00,0,-.03,.01,5,"1,405",.055,.00,33.08%,0,.06,.055,,
SPY201207C332,34.85,C,.95,+5.86,1,96.15%,3.85%,7.60%,.01,0,-.07,.05,1,13,.0668,.00,40.34%,35.1582,34.85,35.225,35.17,Q,35.28,Q,7 DEC 20,332,.05,W,.06,W,SPY201207P332,.11,C,-.01,0,0,1.12%,98.88%,2.21%,.00,0,-.03,.01,0,689,.055,.00,31.41%,0,<empty>,.055,,
SPY201207C334,32.76,E,.95,+5.06,2,96.10%,3.90%,7.70%,.01,0,-.07,.05,2,7,.0718,.00,38.07%,33.1582,32.76,33.230,33.19,I,33.27,I,7 DEC 20,334,.06,W,.07,W,SPY201207P334,.07,W,-.01,-.02,7,1.34%,98.66%,2.65%,.00,0,-.03,.02,7,744,.065,.00,30.46%,0,.07,.065,,
SPY201207C335,22.90,C,.95,-4.84,1,96.01%,3.99%,7.88%,.01,0,-.08,.05,1,14,.0818,.00,37.11%,32.1582,<empty>,32.240,32.19,I,32.29,Q,7 DEC 20,335,.06,W,.07,W,SPY201207P335,.07,N,-.01,-.04,72,1.37%,98.63%,2.71%,.00,0,-.03,.02,72,"14,335",.065,.00,29.61%,0,.08,.065,,
SPY201207C336,27.28,J,.95,-.14,1,96.50%,3.50%,6.91%,.01,0,-.03,.04,1,17,.0268,.00,34.75%,31.1582,<empty>,31.185,31.08,Z,31.29,Q,7 DEC 20,336,.06,W,.07,W,SPY201207P336,.08,I,-.01,-.05,66,1.40%,98.60%,2.77%,.00,0,-.03,.02,66,842,.065,.00,28.77%,0,.08,.065,,
